average_rating,num_pages,ratings_count,text_reviews_count,publication_month,book_age,Re_title,Re_main_author,Re_publisher
3.78,128,78,4,8,20,simply beautiful beading  53 quick and easy projects,heidi boyd,north light books
3.84,423,2785,166,6,37,god emperor of dune  dune chronicles   4 ,frank herbert,ace books
3.91,436,38778,568,7,37,chapterhouse  dune  dune chronicles  6 ,frank herbert,ace books
3.88,331,97494,2359,7,37,dune messiah  dune chronicles  2 ,frank herbert,ace books
4.01,592,784,21,7,20,dreamer of dune  the biography of frank herbert,brian herbert,tor books
3.86,480,272,20,4,40,heretics of dune  dune chronicles   5 ,frank herbert,putnam
3.88,426,4789,83,8,18,the road to dune,frank herbert,tor science fiction
3.86,471,45388,644,8,37,heretics of dune  dune chronicles  5 ,frank herbert,ace books
4.59,192,26153,102,6,22,the lord of the rings  the art of the fellowship of the ring,gary russell,houghton mifflin harcourt
4.35,544,69167,4551,9,28,the power of one  the power of one   1 ,bryce courtenay,ballantine books
4.35,291,45,13,9,19,the power of one  the power of one   1 ,bryce courtenay,delacorte books for young readers
4.28,256,16,1,11,20,the power of one  one person  one rule  one month,john c  maxwell,thomas nelson
3.34,205,174,16,5,18,power of an hour  business and life mastery in one hour a week,dave lakhani,wiley
3.67,240,10,0,2,24,the power of one  the solo play for playwrights  actors  and directors,louis e  catron,heinemann drama
3.48,336,76,9,5,19,how to buy  sell   profit on ebay  kick start your home based business in just thirty days,adam ginsberg,william morrow paperbacks
3.5,386,111,9,10,18,ebay for dummies,marsha collier,wiley
3.62,260,24,0,1,18,what to sell on ebay and where to get it  the definitive guide to product sourcing for ebay and beyond,chris malta,mcgraw hill
3.55,384,55,4,9,20,starting an ebay business for dummies,marsha collier,wiley
4.27,260,9,0,6,18,ebay  top 100 simplified tips   tricks,julia wilkinson,wiley
3.39,391,22,1,5,20,ebay timesaving techniques for dummies,marsha collier,wiley
3.89,864,17,3,4,19,ebay business all in one desk reference for dummies,marsha collier,wiley
3.84,873,166,4,7,18,ruby cookbook,lucas carlson,o'reilly media
4.12,240,50,5,5,19,ruby ann's down home trailer park cookbook,ruby ann boxcar,citadel
4.08,206,13,2,5,19,ruby ann's down home trailer park bbqin' cookbook,ruby ann boxcar,citadel
3.48,514,64,1,1,17,rails cookbook  recipes for rapid web development with ruby,rob orsini,o'reilly media
4.05,838,16643,1851,5,20,anna karenina,leo tolstoy,penguin classics
4.05,960,109420,5696,11,22,anna karenina,leo tolstoy,signet
4.05,837,2904,309,1,21,anna karenina,leo tolstoy,penguin books
3.85,80,16,3,11,59,cliffsnotes on tolstoy's anna karenina,marianne sturman,cliffs notes
4.05,803,9564,726,7,21,anna karenina,leo tolstoy,barnes   noble classics
4.05,752,474,72,11,20,anna karenina,leo tolstoy,dover publications
4.05,803,303,48,8,20,anna karenina,leo tolstoy,barnes   noble
2.99,360,411,65,1,18,dinner with anna karenina,gloria goldreich,mira books
4.19,128,1204,33,11,37,tolstoy  anna karenina,anthony thorlby,cambridge university press
3.71,160,3429,279,7,34,untouchable,mulk raj anand,penguin books
3.95,367,2163,216,6,26,the untouchable,john banville,vintage
3.89,256,613,31,2,28,the untouchables,eliot ness,buccaneer books
3.82,320,308,40,9,19,untouchables  my family's triumphant journey out of the caste system in modern india,narendra jadhav,scribner
4.2,100,10,0,1,29,dalit  the black untaouchables of india,v t  rajshekar,clarity press
3.65,224,16,4,12,24,growing up untouchable in india  a dalit autobiography,vasant moon,rowman   littlefield publishers
3.4,216,10,0,9,21,the evidence based social work skills book,barry r  cournoyer,pearson
4.0,48,17,0,9,33,a wrinkle in time  a guide for using  a wrinkle in time  in the classroom,john carratello,teacher created resources
4.01,360,1035,23,10,30,wrinkles in time,george smoot,harper perennial
4.0,250,36,6,5,22,a wrinkle in time  with related readings  a wrinkle in time quintet  1 ,madeleine l'engle,emc paradigm publishing
3.6,32,15,0,1,22,literature circle guide  a wrinkle in time,tara maccarthy,teaching resources
4.12,367,376,17,6,30,the long shadow  the morland dynasty   6 ,cynthia harrod eagles,little  brown book group
4.11,352,3086,237,1,18,a long shadow  inspector ian rutledge   8 ,charles todd,william morrow
3.94,320,352,44,11,19,long way round  chasing shadows across the world,ewan mcgregor,atria books
3.6,331,9852,633,3,18,a shadow in summer  long price quartet   1 ,daniel abraham,tor books
3.9,244,821,78,8,20,new hope for the dead  hoke mosely  2 ,charles willeford,vintage crime black lizard
4.05,215,731,72,3,19,sideswipe  a hoke moseley novel,charles willeford,vintage crime black lizard
3.94,191,2897,178,8,20,miami blues  hoke moseley  1 ,charles willeford,vintage crime black lizard
3.89,144,98,11,10,34,the burnt orange heresy  vintage crime black lizard ,charles willeford,vintage
3.42,738,20888,1688,8,19,i am charlotte simmons,tom wolfe,picador usa
3.91,48,66,19,10,23,poetry for young people  edward lear,edward lear,sterling
4.02,287,81,6,10,28,the puffin book of nonsense verse,quentin blake,puffin
4.22,217,981,52,2,60,henry miller on writing,henry miller,new directions publishing
3.69,154,3381,141,1,30,quiet days in clichy,henry miller,grove press
3.68,318,53206,2376,1,30,tropic of cancer,henry miller,grove press
3.78,348,14872,459,1,30,tropic of capricorn,henry miller,grove press
4.1,316,3261,58,1,30,nexus  the rosy crucifixion   3 ,henry miller,grove press
3.98,506,7805,251,1,30,sexus  the rosy crucifixion   1 ,henry miller,grove press
3.83,292,2699,142,1,54,the air conditioned nightmare,henry miller,new directions
3.78,797,61640,1951,9,21,the portrait of a lady,henry james,penguin classics
3.78,635,392,41,1,20,the portrait of a lady,henry james,barnes  noble classics
3.75,91,778,44,5,25,writing,marguerite duras,brookline books
3.85,192,963,65,8,30,the war,marguerite duras,the new press
3.66,181,2057,128,3,38,the ravishing of lol stein,marguerite duras,pantheon
3.68,178,203,8,7,25,love letters,kahlil gibran,one world  uk 
4.21,464,35,2,4,26,kahlil gibran  his life and world,jean gibran,interlink publishing group
4.19,102,328,16,1,26,the beloved  reflections on the path of the heart,kahlil gibran,penguin books
3.98,216,1308,82,2,29,jesus the son of man,kahlil gibran,knopf
3.92,132,6432,517,3,21,the broken wings,kahlil gibran,citadel
4.08,100,3015,217,6,13,sand and foam,kahlil gibran,knopf
3.83,311,318753,6734,9,23,treasure island,robert louis stevenson,kingfisher
3.83,213,420,42,10,20,treasure island,robert louis stevenson,sterling children's books
3.83,245,5967,276,6,19,treasure island,robert louis stevenson,simon   schuster
3.83,64,104,14,7,21,treasure island,robert louis stevenson,atheneum books for young readers
3.83,272,56,4,9,22,treasure island,robert louis stevenson,gramercy books
4.05,232,91,16,1,18,treasure island  great illustrated classics ,deidre s  laiken,abdo publishing company
4.61,270,88,4,11,28,100 years of lynchings,ralph ginzburg,black classic press
4.04,64,2815,164,9,69,on beyond zebra ,dr  seuss,random house books for young readers
3.6,256,95,13,6,19,the wedding clause,debbie raleigh,zebra
3.44,147,217,24,2,19,the zebra wall,kevin henkes,greenwillow books
4.01,304,17232,649,6,27,the door into summer,robert a  heinlein,del rey
3.92,528,251872,6241,10,33,stranger in a strange land,robert a  heinlein,ace
3.87,434,10293,193,6,36,to sail beyond the sunset,robert a  heinlein,ace books
3.78,439,15970,438,10,39,job  a comedy of justice,robert a  heinlein,del rey
3.97,256,6898,200,8,18,time for the stars  heinlein's juveniles   10 ,robert a  heinlein,tor books
4.06,307,67803,1401,2,33,the long dark tea time of the soul  dirk gently   2 ,douglas adams,pocket books
3.93,298,22091,746,4,19,the salmon of doubt  dirk gently   3 ,douglas adams,del rey
4.14,368,2623,49,12,19,wish you were here  the official biography of douglas adams,nick  webb,del rey
3.6,256,885,84,10,26,douglas adams's starship titanic,terry jones,ballantine books
3.93,336,5,0,7,21,salmon of doubt  hitchhiking the galaxy one last time,douglas adams,turtleback books
4.13,72,100,13,1,13,the phantom tollbooth  a children's play in two acts,susan nanus,samuel french  inc 
3.57,67,9358,995,1,19,on bullshit,harry g  frankfurt,princeton university press
3.78,347,9318,907,9,19,another bullshit night in suck city,nick flynn,w  w  norton   company
4.14,317,120,15,6,31,lincoln at gettysburg  the words that remade america,garry wills,simon   schuster
4.53,32,5239,76,2,26,the gettysburg address,abraham lincoln,hmh books for young readers
3.92,827,1505,175,7,26,underworld,don delillo,scribner
3.99,480,11857,564,5,33,libra,don delillo,penguin
3.43,377,393,55,7,35,americana,don delillo,penguin books
3.43,256,1356,72,7,35,running dog,don delillo,vintage contemporaries
3.22,224,460,41,4,20,cosmopolis,don delillo,scribner
3.48,272,2492,145,1,30,great jones street,don delillo,penguin books
3.64,339,3100,212,7,35,the names,don delillo,vintage
3.96,547,1415,177,7,19,v ,thomas pynchon,harper perennial modern classics
3.69,152,2161,230,4,25,the crying of lot 49,thomas pynchon,harper perennial
4.01,784,762,213,1,24,gravity's rainbow,thomas pynchon,penguin books
4.07,773,8086,602,1,20,mason   dixon,thomas pynchon,picador usa
3.69,385,702,69,9,27,vineland,thomas pynchon,penguin classics
4.01,776,29764,2164,10,18,gravity's rainbow,thomas pynchon,penguin books
3.5,193,334,34,4,39,slow learner  early stories,thomas pynchon,back bay books
3.8,352,2473,220,8,28,been down so long it looks like up to me,richard fari a,penguin classics
3.89,227,2656,336,10,19,the year of magical thinking,joan didion,knopf publishing group
4.17,222,11889,738,10,34,the white album,joan didion,farrar straus giroux
3.8,272,2962,255,4,29,a book of common prayer,joan didion,vintage international
3.86,240,2842,292,9,20,where i was from,joan didion,vintage
4.21,238,26934,1825,10,34,slouching towards bethlehem,joan didion,farrar straus giroux
3.81,234,2070,169,4,29,democracy,joan didion,vintage international
3.87,231,23656,1706,11,19,play it as it lays,joan didion,farrar  straus and giroux
3.89,308,43200,1873,3,18,the new york trilogy,paul auster,penguin classics
3.79,203,12410,734,4,37,city of glass  the new york trilogy   1 ,paul auster,penguin books
3.64,96,3672,195,7,37,ghosts  the new york trilogy   2 ,paul auster,penguin books
3.89,179,2998,164,11,38,the locked room  the new york trilogy   3 ,paul auster,sun and moon press
3.89,256,74,2,1,29,pyramids of montauk  explorations in consciousness,peter moon,sky books  ny 
3.84,306,17977,1157,10,18,the brooklyn follies,paul auster,picador
3.94,320,16099,503,4,34,moon palace,paul auster,penguin books
3.9,217,361,36,12,33,the music of chance,paul auster,penguin books
3.23,145,6688,562,1,17,travels in the scriptorium,paul auster,henry holt   company
3.96,275,11744,443,9,31,leviathan,paul auster,penguin books
3.77,104,2390,120,6,22,the red notebook  true stories,paul auster,new directions
3.93,608,52522,2780,12,19,collapse  how societies choose to fail or succeed,jared diamond,penguin books ltd   london 
3.4,211,213,26,2,18,the coming economic collapse  how you can thrive when oil costs  200 a barrel,stephen leeb,business plus
4.15,262,719,86,3,34,collapse of complex societies,joseph a  tainter,cambridge university press
3.8,544,4762,512,8,23,bowling alone  the collapse and revival of american community,robert d  putnam,simon  schuster
3.91,272,62,4,1,22,the collapse of the common good  how america's lawsuit culture undermines our freedom,philip k  howard,ballantine books
4.39,576,278,20,9,26,reinventing the enemy's language  contemporary native women's writings of north america,joy harjo,w  w  norton  company
4.01,88,2862,262,5,18,my inventions,nikola tesla,filiquarian publishing  llc 
3.78,542,2829,334,2,23,wizard  the life and times of nikola tesla  biography of a genius,marc j   seifer,citadel
3.93,144,105,5,10,30,nikola tesla  a spark of genius,carol dommermuth costa,lerner publications
4.13,100,102,2,12,24,tesla papers,nikola tesla,adventures unlimited press
3.77,249,478,12,6,18,boys of summer,julie elizabeth leto,harlequin blaze
4.03,828,1577,49,10,20,programming ruby  the pragmatic programmers' guide,dave thomas,pragmatic bookshelf
3.95,112,73,8,6,24,golding's lord of the flies  cliffs notes ,maureen kelly,cliffs notes
4.11,397,1693,100,9,18,a war like no other  how the athenians   spartans fought the peloponnesian war,victor davis hanson,random house
4.14,216,1,0,1,35,we were not like other people,ephraim sevela,harpercollins publishers
3.81,328,6485,966,6,21,the lovely bones,alice sebold,picador
3.81,532,367,73,4,20,the lovely bones,alice sebold,large print press
3.8,224,1371,43,5,34,lovely in her bones  elizabeth macpherson   2 ,sharyn mccrumb,ballantine books
3.98,296,793,28,2,19,the zen of css design  visual enlightenment for the web,dave shea,peachpit press
3.8,456,549,42,8,18,html  xhtml  and css  visual quickstart guide ,elizabeth castro,peachpit press
3.81,245,26381,1109,6,18,killing yourself to live  85  of a true story,chuck klosterman,scribner
3.73,272,62089,3324,7,20,sex  drugs  and cocoa puffs  a low culture manifesto,chuck klosterman,scribner
3.51,419,474,19,5,28,vice  v   8 ,jane feather,bantam
3.77,540,166046,6446,4,18,zen and the art of motorcycle maintenance  an inquiry into values  phaedrus   1 ,robert m  pirsig,harpertorch
4.08,32,1773,274,4,19,once upon a cool motorcycle dude,kevin o'malley,walker   company
3.72,408,286,10,11,34,guidebook to zen and the art of motorcycle maintenance,ronald l  disanto,william morrow paperbacks
3.85,222,40,2,7,22,motorcycle basics techbook,john harold haynes,haynes manuals n  america  inc 
3.93,191,27,0,9,20,logo lounge  2 000 international identities by leading designers,catharine m  fishel,rockport publishers
4.11,304,7300,266,4,21,the death of ivan ilych and other stories,leo tolstoy,signet classics
4.13,352,2403,210,9,18,the kingdom of god is within you,leo tolstoy,dover publications
3.68,224,2750,108,12,61,for the new intellectual  the philosophy of ayn rand,ayn rand,signet book
3.87,752,1886,229,4,19,the fountainhead,ayn rand,dutton
3.51,176,11462,467,11,60,the virtue of selfishness  a new concept of egoism,ayn rand,signet
3.63,105,110952,7277,12,25,anthem,ayn rand,nal
3.91,464,23199,1086,1,28,we the living,ayn rand,signet
3.88,340,3501,153,7,38,capitalism  the unknown ideal,ayn rand,signet
3.96,681,18,2,2,27,letters of ayn rand,ayn rand,nal
3.95,416,150,7,6,18,sailing for dummies,j j  isler,for dummies
3.88,368,646,83,7,18,sailing from byzantium  how a lost empire shaped the world,colin  wells,delacorte press
4.23,192,12180,630,9,22,sailing alone around the room  new and selected poems,billy collins,random house trade paperbacks
3.62,286,51,5,4,20,the greatest sailing stories ever told  twenty seven unforgettable stories,christopher caswell,lyons press
3.09,571,1601,284,1,20,natural cures  they  don't want you to know about,kevin trudeau,alliance publishing
3.63,231,8854,672,7,21,the natural,bernard malamud,farrar straus giroux
3.55,277,17155,1841,5,18,digging to america,anne tyler,alfred a  knopf
3.77,826,44,3,1,20,rereading america  cultural contexts for critical thinking and writing,gary colombo,bedford books
3.59,528,234,11,10,20,modern latin america,thomas e  skidmore,oxford university press  usa
3.77,391,33321,2925,9,19,the plot against america,philip roth,vintage international
3.59,164,8703,417,9,25,naked pictures of famous people,jon   stewart,dey street books
4.19,352,6375,179,5,16,collected stories,gabriel garc a m rquez,harper perennial modern classics
3.99,533,397,47,10,20,living to tell the tale,gabriel garc a m rquez,vintage
4.07,425,32569,1058,9,20,the elegant universe  superstrings  hidden dimensions  and the quest for the ultimate theory,brian greene,vintage books usa
4.29,288,37,6,5,19,pure and simple  the extraordinary teachings of a thai buddhist laywoman,upasika kee nanayon,wisdom publications
3.75,363,1,0,4,18,the mini rough guide to london,rob humphreys,rough guides
3.83,128,11,0,9,20,best of london  lonely planet best of ,lonely planet,lonely planet
0.0,295,0,0,9,23,out to eat london 2002  lonely planet out to eat ,lonely planet,lonely planet
3.88,287,6870,237,4,18,three nights in august  strategy  heartbreak  and joy inside the mind of a manager,h g  bissinger,mariner books
4.26,815,19320,565,6,19,the confusion  the baroque cycle   2 ,neal stephenson,william morrow paperbacks
3.93,927,30872,1735,9,20,quicksilver  the baroque cycle   1 ,neal stephenson,harpercollins perennial
3.61,448,2465,137,5,19,the cobweb,neal stephenson,spectra books
3.25,308,4657,223,2,23,the big u,neal stephenson,william morrow paperbacks
4.19,499,71042,2767,5,24,the diamond age  or  a young lady's illustrated primer,neal stephenson,spectra
3.68,640,4731,270,5,19,interface,neal stephenson,spectra
4.2,464,1567,65,3,18,odalisque  the baroque cycle  vol  1  book 3 ,neal stephenson,harpertorch
4.03,438,188100,6612,8,24,snow crash,neal stephenson,bantam books
4.16,450,1474,30,6,19,harrington on hold 'em  expert strategy for no limit tournaments  volume ii  the endgame,dan harrington,two plus two publishing llc
4.24,381,1929,72,12,20,harrington on hold 'em  expert strategy for no limit tournaments  volume i  strategic play,dan harrington,two plus two publishing llc
4.17,240,18602,1379,9,22,the design of everyday things,donald a  norman,basic books
3.95,272,3702,149,5,19,emotional design  why we love  or hate  everyday things,donald a  norman,basic books
4.17,257,265,31,6,36,the psychology of everyday things,donald a  norman,basic books
4.27,259,51,7,4,18,no price too high  a pentecostal preacher becomes catholic   the inspirational story of alex jones as told to diane hanson,alex c  jones,ignatius press
3.86,192,920,76,5,18,the alchemist,paulo coelho,harperone
3.86,197,1631221,55843,5,31,the alchemist,paulo coelho,harpercollins
4.57,192,9013,153,9,18,fullmetal alchemist  vol  9  fullmetal alchemist   9 ,hiromu arakawa,viz media llc
4.56,192,16666,299,9,19,fullmetal alchemist  vol  3  fullmetal alchemist   3 ,hiromu arakawa,viz media llc
4.57,192,11451,161,7,18,fullmetal alchemist  vol  8  fullmetal alchemist   8 ,hiromu arakawa,viz media llc
4.5,192,111091,1427,5,19,fullmetal alchemist  vol  1  fullmetal alchemist   1 ,hiromu arakawa,viz media llc
4.55,200,10752,294,11,19,fullmetal alchemist  vol  4  fullmetal alchemist   4 ,hiromu arakawa,viz media llc
3.86,198,251,32,11,26,the illustrated alchemist  a fable about following your dream,paulo coelho,harpercollins publishers
4.52,192,14923,419,7,19,fullmetal alchemist  vol  2  fullmetal alchemist   2 ,hiromu arakawa,viz media llc
3.82,274,26922,1726,11,19,pompeii,robert   harris,random house trade paperbacks
3.6,360,1156,68,12,22,the last days of pompeii,edward bulwer lytton,borgo press
3.87,103,1755253,25554,1,22,of mice and men,john steinbeck,penguin books
3.74,464,20529,1592,9,19,the game  penetrating the secret society of pickup artists,neil strauss,it books
4.02,182,142121,8782,4,20,the westing game,ellen raskin,puffin
3.83,215,30231,1130,7,15,the egypt game,zilpha keatley snyder,turtleback books
4.11,503,280309,3703,11,19,memoirs of a geisha,arthur golden,vintage books usa
4.11,434,1301083,19296,11,19,memoirs of a geisha,arthur golden,random house large print publishing
4.11,497,2122,256,12,19,memoirs of a geisha,arthur golden,vintage
4.08,144,145,8,10,19,memoirs of a geisha  a portrait of the film,david        james,newmarket press
4.11,497,4189,462,6,26,memoirs of a geisha,arthur golden,vintage
3.93,334,1556,158,5,21,geisha of gion,mineko iwasaki,pocket books
3.44,58,9,2,2,18,love as a foreign language  5,j  torres,oni press
3.41,95,59,7,8,22,jungle love,margaret johnson,cambridge university press
3.89,736,2418736,21303,4,18,angels   demons  robert langdon   1 ,dan brown,pocket books
3.84,489,1679706,35877,3,18,the da vinci code  robert langdon   2 ,dan brown,anchor
3.84,467,1120,105,3,18,the da vinci code,dan brown,broadway books
3.71,736,4919,410,4,18,deception point,dan brown,pocket books
3.71,585,3353,183,5,20,deception point,dan brown,corgi books
3.71,448,61,4,8,19,deception point,dan brown,bantam press
4.04,383,456,41,2,19,a killing rain  louis kincaid   6 ,p j  parrish,pinnacle
4.03,258,61760,2600,10,26,the millionaire next door  the surprising secrets of america's wealthy,thomas j  stanley,gallery books
4.18,320,88897,2334,9,19,think and grow rich  the landmark bestseller now revised and updated for the 21st century,napoleon hill,tarcherperigee
4.18,368,48,9,8,20,think and grow rich,napoleon hill,high roads media
3.58,256,173,14,6,18,pragmatic version control  using subversion  the pragmatic starter kit series ,mike   mason,pragmatic bookshelf
3.95,288,253,17,6,19,read my lips  sexual subversion and the end of gender,riki anne wilchins,firebrand books
3.66,384,12748,948,12,20,trump  the art of the deal,donald j  trump,ballantine books
4.26,194,76451,3400,2,16,the richest man in babylon,george s  clason,berkley books
4.21,480,9498,637,5,19,shibumi,trevanian,broadway books
4.07,386,166916,6243,7,18,1776,david mccullough,simon  schuster
4.22,192,1299,30,11,48,1776,peter  stone,penguin books
3.62,284,31,5,7,24,the crescent obscured  the united states and the muslim world  1776 1815,robert j  allison,university of chicago press
3.98,418,200744,7656,3,15,the good earth  house of earth   1 ,pearl s  buck,howard publishing co
3.74,399,190039,4922,7,19,fast food nation  the dark side of the all american meal,eric schlosser,harper perennial
3.74,384,811,77,4,22,fast food nation  what the all american meal is doing to the world,eric schlosser,penguin books
4.07,269,297533,14935,2,18,snow flower and the secret fan,lisa see,random house
3.78,422,72361,2334,9,18,the broker,john grisham,delta
3.75,320,28,1,7,18,the power broker  a novel  christian gillette   3 ,stephen w  frey,ballantine books
3.74,201,3877,275,6,25,body for life  12 weeks to mental and physical strength,bill phillips,harpercollins publishers  inc 
3.65,288,401,63,4,19,body for life for women  a woman's plan for physical and mental transformation,pamela peeke,rodale books
3.95,405,814,51,11,21,eating for life  your guide to great health  fat loss and increased energy ,bill phillips,high point media
4.13,245,228,16,10,19,the warren buffett way,robert g  hagstrom,john wiley   sons
4.07,432,39,1,4,21,the warren buffett ceo  secrets from the berkshire hathaway managers,robert p  miles,wiley
3.15,368,26,8,5,19,monkey business  true story of the scopes trial,marvin n  olasky,b books
3.99,68,11178,623,2,31,junie b  jones and a little monkey business  junie b  jones   2 ,barbara park,random house books for young readers
3.67,392,3379,67,9,20,monkey business,sarah mlynowski,red dress ink
4.15,256,22843,936,10,34,liar's poker,michael   lewis,penguin books
3.31,214,13,1,6,31,liar's poker  a harry garnish mystery,frank mcconnell,walker   company
4.08,64,8,2,3,23,risotto  30 simply delicious vegetarian recipes from an italian kitchen,ursula ferrigno,ryland peters   small
3.96,256,14103,74,4,18,giada's family dinners,giada de laurentiis,clarkson potter
3.95,256,40125,217,2,19,everyday italian  125 simple and delicious recipes,giada de laurentiis,clarkson potter
4.09,240,8822,55,4,17,everyday pasta,giada de laurentiis,clarkson potter
4.09,256,3697,34,9,18,tyler's ultimate  brilliant simple food to make any time,tyler florence,clarkson potter
4.06,304,1426,16,3,21,tyler florence's real kitchen  an indespensible guide for anybody who likes to cook,tyler florence,clarkson potter publishers
3.92,287,275,15,10,20,eat this book  cooking with global fresh flavors,tyler florence,clarkson potter publishers
3.97,320,628745,13034,10,18,freakonomics  a rogue economist explores the hidden side of everything,steven d  levitt,william morrow
3.97,496,98,5,12,18,freakonomics  a rogue economist explores the hidden side of everything,steven d  levitt,harper
4.27,338,189,25,6,18,the last assassin  john rain   5 ,barry eisler,putnam publishing group
3.91,401,4318,668,5,20,life of pi,yann martel,mariner books   harvest books
3.49,400,102,8,9,25,shadows and wind  a view of modern vietnam,robert templer,penguin books
3.65,515,206011,10821,9,19,a million little pieces,james frey,anchor books
3.56,256,43,6,2,18,a million little pieces of feces,python bonkers,lulu com
